steps: 65500, lr: 4.94e-04, avg_loss: 3.49, run_time: 1.03e+02
steps: 66000, lr: 4.92e-04, avg_loss: 3.49, run_time: 1.03e+02
steps: 66500, lr: 4.91e-04, avg_loss: 3.49, run_time: 1.03e+02
steps: 67000, lr: 4.89e-04, avg_loss: 3.49, run_time: 1.03e+02
steps: 67500, lr: 4.87e-04, avg_loss: 3.49, run_time: 1.03e+02
steps: 68000, lr: 4.85e-04, avg_loss: 3.48, run_time: 1.32e+02
steps: 68500, lr: 4.83e-04, avg_loss: 3.49, run_time: 1.02e+02
steps: 69000, lr: 4.82e-04, avg_loss: 3.49, run_time: 1.06e+02
steps: 69500, lr: 4.80e-04, avg_loss: 3.48, run_time: 1.03e+02
steps: 70000, lr: 4.78e-04, avg_loss: 3.48, run_time: 1.04e+02
steps: 70500, lr: 4.76e-04, avg_loss: 3.48, run_time: 1.04e+02
steps: 71000, lr: 4.75e-04, avg_loss: 3.48, run_time: 1.04e+02
steps: 71500, lr: 4.73e-04, avg_loss: 3.48, run_time: 1.04e+02
steps: 72000, lr: 4.71e-04, avg_loss: 3.48, run_time: 1.03e+02
steps: 72500, lr: 4.70e-04, avg_loss: 3.42, run_time: 1.32e+02
steps: 73000, lr: 4.68e-04, avg_loss: 3.46, run_time: 1.03e+02
steps: 73500, lr: 4.67e-04, avg_loss: 3.47, run_time: 1.03e+02
steps: 74000, lr: 4.65e-04, avg_loss: 3.47, run_time: 1.03e+02
steps: 74500, lr: 4.63e-04, avg_loss: 3.47, run_time: 1.03e+02
steps: 75000, lr: 4.62e-04, avg_loss: 3.47, run_time: 1.03e+02
steps: 75500, lr: 4.60e-04, avg_loss: 3.47, run_time: 1.03e+02
steps: 76000, lr: 4.59e-04, avg_loss: 3.47, run_time: 1.03e+02
steps: 76500, lr: 4.57e-04, avg_loss: 3.47, run_time: 1.03e+02
steps: 77000, lr: 4.56e-04, avg_loss: 3.47, run_time: 1.03e+02
steps: 77500, lr: 4.54e-04, avg_loss: 3.47, run_time: 1.32e+02
steps: 78000, lr: 4.53e-04, avg_loss: 3.47, run_time: 1.03e+02
steps: 78500, lr: 4.51e-04, avg_loss: 3.46, run_time: 1.03e+02
steps: 79000, lr: 4.50e-04, avg_loss: 3.46, run_time: 1.03e+02
steps: 79500, lr: 4.49e-04, avg_loss: 3.46, run_time: 1.03e+02
steps: 80000, lr: 4.47e-04, avg_loss: 3.46, run_time: 1.03e+02
steps: 80500, lr: 4.46e-04, avg_loss: 3.46, run_time: 1.03e+02
steps: 81000, lr: 4.44e-04, avg_loss: 3.46, run_time: 1.04e+02
steps: 81500, lr: 4.43e-04, avg_loss: 3.46, run_time: 1.03e+02
steps: 82000, lr: 4.42e-04, avg_loss: 3.46, run_time: 1.06e+02
steps: 82500, lr: 4.40e-04, avg_loss: 3.46, run_time: 1.30e+02
steps: 83000, lr: 4.39e-04, avg_loss: 3.46, run_time: 1.03e+02
steps: 83500, lr: 4.38e-04, avg_loss: 3.46, run_time: 1.03e+02
steps: 84000, lr: 4.36e-04, avg_loss: 3.45, run_time: 1.03e+02
steps: 84500, lr: 4.35e-04, avg_loss: 3.45, run_time: 1.03e+02
