steps: 73000, lr: 4.68e-04, avg_loss: 3.34, run_time: 1.59e+02
steps: 73500, lr: 4.67e-04, avg_loss: 3.34, run_time: 1.59e+02
steps: 74000, lr: 4.65e-04, avg_loss: 3.33, run_time: 1.59e+02
steps: 74500, lr: 4.63e-04, avg_loss: 3.34, run_time: 1.59e+02
steps: 75000, lr: 4.62e-04, avg_loss: 3.33, run_time: 1.59e+02
steps: 75500, lr: 4.60e-04, avg_loss: 3.34, run_time: 1.59e+02
steps: 76000, lr: 4.59e-04, avg_loss: 3.34, run_time: 1.59e+02
steps: 76500, lr: 4.57e-04, avg_loss: 3.34, run_time: 1.59e+02
steps: 77000, lr: 4.56e-04, avg_loss: 3.34, run_time: 1.59e+02
steps: 77500, lr: 4.54e-04, avg_loss: 3.33, run_time: 2.25e+02
steps: 78000, lr: 4.53e-04, avg_loss: 3.32, run_time: 1.59e+02
steps: 78500, lr: 4.51e-04, avg_loss: 3.32, run_time: 1.59e+02
steps: 79000, lr: 4.50e-04, avg_loss: 3.32, run_time: 1.59e+02
steps: 79500, lr: 4.49e-04, avg_loss: 3.32, run_time: 1.59e+02
steps: 80000, lr: 4.47e-04, avg_loss: 3.32, run_time: 1.59e+02
steps: 80500, lr: 4.46e-04, avg_loss: 3.32, run_time: 1.59e+02
steps: 81000, lr: 4.44e-04, avg_loss: 3.33, run_time: 1.59e+02
steps: 81500, lr: 4.43e-04, avg_loss: 3.33, run_time: 1.60e+02
steps: 82000, lr: 4.42e-04, avg_loss: 3.33, run_time: 1.59e+02
steps: 82500, lr: 4.40e-04, avg_loss: 3.32, run_time: 2.03e+02
steps: 83000, lr: 4.39e-04, avg_loss: 3.33, run_time: 1.60e+02
steps: 83500, lr: 4.38e-04, avg_loss: 3.32, run_time: 1.60e+02
steps: 84000, lr: 4.36e-04, avg_loss: 3.32, run_time: 1.59e+02
steps: 84500, lr: 4.35e-04, avg_loss: 3.32, run_time: 1.59e+02
steps: 85000, lr: 4.34e-04, avg_loss: 3.32, run_time: 1.60e+02
steps: 85500, lr: 4.33e-04, avg_loss: 3.32, run_time: 1.60e+02
steps: 86000, lr: 4.31e-04, avg_loss: 3.32, run_time: 1.60e+02
steps: 86500, lr: 4.30e-04, avg_loss: 3.32, run_time: 1.60e+02
steps: 87000, lr: 4.29e-04, avg_loss: 3.30, run_time: 3.18e+02
steps: 87500, lr: 4.28e-04, avg_loss: 3.30, run_time: 1.59e+02
steps: 88000, lr: 4.26e-04, avg_loss: 3.31, run_time: 1.59e+02
steps: 88500, lr: 4.25e-04, avg_loss: 3.31, run_time: 1.59e+02
steps: 89000, lr: 4.24e-04, avg_loss: 3.31, run_time: 1.59e+02
steps: 89500, lr: 4.23e-04, avg_loss: 3.31, run_time: 1.60e+02
steps: 90000, lr: 4.22e-04, avg_loss: 3.31, run_time: 1.60e+02
steps: 90500, lr: 4.20e-04, avg_loss: 3.31, run_time: 1.60e+02
steps: 91000, lr: 4.19e-04, avg_loss: 3.31, run_time: 1.60e+02
steps: 91500, lr: 4.18e-04, avg_loss: 3.31, run_time: 1.60e+02
steps: 92000, lr: 4.17e-04, avg_loss: 3.30, run_time: 4.06e+02
steps: 92500, lr: 4.16e-04, avg_loss: 3.30, run_time: 1.59e+02
steps: 93000, lr: 4.15e-04, avg_loss: 3.30, run_time: 1.59e+02
steps: 93500, lr: 4.14e-04, avg_loss: 3.30, run_time: 1.60e+02
steps: 94000, lr: 4.13e-04, avg_loss: 3.30, run_time: 1.60e+02
steps: 94500, lr: 4.11e-04, avg_loss: 3.30, run_time: 1.60e+02
steps: 95000, lr: 4.10e-04, avg_loss: 3.30, run_time: 1.60e+02
steps: 95500, lr: 4.09e-04, avg_loss: 3.30, run_time: 1.60e+02
steps: 96000, lr: 4.08e-04, avg_loss: 3.30, run_time: 1.59e+02
steps: 96500, lr: 4.07e-04, avg_loss: 3.30, run_time: 1.59e+02
steps: 97000, lr: 4.06e-04, avg_loss: 3.31, run_time: 2.03e+02
steps: 97500, lr: 4.05e-04, avg_loss: 3.29, run_time: 1.59e+02
steps: 98000, lr: 4.04e-04, avg_loss: 3.30, run_time: 1.59e+02
steps: 98500, lr: 4.03e-04, avg_loss: 3.29, run_time: 1.60e+02
steps: 99000, lr: 4.02e-04, avg_loss: 3.29, run_time: 1.59e+02
steps: 99500, lr: 4.01e-04, avg_loss: 3.29, run_time: 1.59e+02
steps: 100000, lr: 4.00e-04, avg_loss: 3.29, run_time: 1.60e+02
steps: 100500, lr: 3.99e-04, avg_loss: 3.29, run_time: 1.60e+02
steps: 101000, lr: 3.98e-04, avg_loss: 3.29, run_time: 1.60e+02
steps: 101500, lr: 3.97e-04, avg_loss: 3.25, run_time: 3.07e+02
steps: 102000, lr: 3.96e-04, avg_loss: 3.30, run_time: 1.60e+02
steps: 102500, lr: 3.95e-04, avg_loss: 3.29, run_time: 1.60e+02
steps: 103000, lr: 3.94e-04, avg_loss: 3.29, run_time: 1.60e+02
steps: 103500, lr: 3.93e-04, avg_loss: 3.29, run_time: 1.60e+02
steps: 104000, lr: 3.92e-04, avg_loss: 3.29, run_time: 1.60e+02
steps: 104500, lr: 3.91e-04, avg_loss: 3.29, run_time: 1.60e+02
steps: 105000, lr: 3.90e-04, avg_loss: 3.29, run_time: 1.61e+02
steps: 105500, lr: 3.89e-04, avg_loss: 3.29, run_time: 1.60e+02
steps: 106000, lr: 3.89e-04, avg_loss: 3.28, run_time: 1.60e+02
steps: 106500, lr: 3.88e-04, avg_loss: 3.29, run_time: 4.16e+02
steps: 107000, lr: 3.87e-04, avg_loss: 3.29, run_time: 1.59e+02
steps: 107500, lr: 3.86e-04, avg_loss: 3.28, run_time: 1.60e+02
steps: 108000, lr: 3.85e-04, avg_loss: 3.29, run_time: 1.59e+02
steps: 108500, lr: 3.84e-04, avg_loss: 3.29, run_time: 1.60e+02
steps: 109000, lr: 3.83e-04, avg_loss: 3.29, run_time: 1.60e+02
steps: 109500, lr: 3.82e-04, avg_loss: 3.29, run_time: 1.60e+02
steps: 110000, lr: 3.81e-04, avg_loss: 3.28, run_time: 1.60e+02
steps: 110500, lr: 3.81e-04, avg_loss: 3.28, run_time: 1.60e+02
steps: 111000, lr: 3.80e-04, avg_loss: 3.28, run_time: 1.59e+02
steps: 111500, lr: 3.79e-04, avg_loss: 3.27, run_time: 2.60e+02
steps: 112000, lr: 3.78e-04, avg_loss: 3.27, run_time: 1.60e+02
steps: 112500, lr: 3.77e-04, avg_loss: 3.27, run_time: 1.60e+02
steps: 113000, lr: 3.76e-04, avg_loss: 3.28, run_time: 1.60e+02
steps: 113500, lr: 3.75e-04, avg_loss: 3.28, run_time: 1.60e+02
steps: 114000, lr: 3.75e-04, avg_loss: 3.28, run_time: 1.60e+02
steps: 114500, lr: 3.74e-04, avg_loss: 3.28, run_time: 1.60e+02
steps: 115000, lr: 3.73e-04, avg_loss: 3.28, run_time: 1.60e+02
steps: 115500, lr: 3.72e-04, avg_loss: 3.28, run_time: 1.60e+02
steps: 116000, lr: 3.71e-04, avg_loss: 3.25, run_time: 2.70e+02
steps: 116500, lr: 3.71e-04, avg_loss: 3.27, run_time: 1.59e+02
steps: 117000, lr: 3.70e-04, avg_loss: 3.28, run_time: 1.59e+02
steps: 117500, lr: 3.69e-04, avg_loss: 3.28, run_time: 1.59e+02
steps: 118000, lr: 3.68e-04, avg_loss: 3.28, run_time: 1.59e+02
steps: 118500, lr: 3.67e-04, avg_loss: 3.28, run_time: 1.59e+02
steps: 119000, lr: 3.67e-04, avg_loss: 3.28, run_time: 1.59e+02
steps: 119500, lr: 3.66e-04, avg_loss: 3.27, run_time: 1.60e+02
steps: 120000, lr: 3.65e-04, avg_loss: 3.27, run_time: 1.60e+02
steps: 120500, lr: 3.64e-04, avg_loss: 3.27, run_time: 1.60e+02
steps: 121000, lr: 3.64e-04, avg_loss: 3.24, run_time: 4.42e+02
steps: 121500, lr: 3.63e-04, avg_loss: 3.26, run_time: 1.59e+02
steps: 122000, lr: 3.62e-04, avg_loss: 3.26, run_time: 1.60e+02
steps: 122500, lr: 3.61e-04, avg_loss: 3.26, run_time: 1.60e+02
steps: 123000, lr: 3.61e-04, avg_loss: 3.26, run_time: 1.60e+02
steps: 123500, lr: 3.60e-04, avg_loss: 3.26, run_time: 1.59e+02
steps: 124000, lr: 3.59e-04, avg_loss: 3.26, run_time: 1.60e+02
steps: 124500, lr: 3.58e-04, avg_loss: 3.27, run_time: 1.59e+02
steps: 125000, lr: 3.58e-04, avg_loss: 3.26, run_time: 1.59e+02
steps: 125500, lr: 3.57e-04, avg_loss: 3.26, run_time: 1.60e+02
steps: 126000, lr: 3.56e-04, avg_loss: 3.27, run_time: 3.10e+02
steps: 126500, lr: 3.56e-04, avg_loss: 3.27, run_time: 1.59e+02
