steps: 0, lr: 8.00e-04, avg_loss: 0.00e+00
steps: 26500, lr: 7.77e-04, avg_loss: 3.61, run_time: 4.06e-01
steps: 27000, lr: 7.70e-04, avg_loss: 3.61, run_time: 7.06e+02
steps: 27000, lr: 7.70e-04, avg_loss: 3.61, run_time: 5.17e-01
steps: 27000, lr: 7.70e-04, avg_loss: 3.61, run_time: 4.00e-01
steps: 27500, lr: 7.63e-04, avg_loss: 3.59, run_time: 6.89e+02
steps: 27500, lr: 7.63e-04, avg_loss: 3.59, run_time: 4.61e-01
steps: 27500, lr: 7.63e-04, avg_loss: 3.59, run_time: 4.06e-01
steps: 28000, lr: 7.56e-04, avg_loss: 3.59, run_time: 6.20e+02
steps: 28000, lr: 7.56e-04, avg_loss: 3.59, run_time: 4.73e-01
steps: 28000, lr: 7.56e-04, avg_loss: 3.59, run_time: 4.06e-01
steps: 28500, lr: 7.49e-04, avg_loss: 3.59, run_time: 6.99e+02
steps: 28500, lr: 7.49e-04, avg_loss: 3.59, run_time: 5.26e-01
steps: 28500, lr: 7.49e-04, avg_loss: 3.59, run_time: 4.09e-01
steps: 29000, lr: 7.43e-04, avg_loss: 3.58, run_time: 7.10e+02
steps: 29000, lr: 7.43e-04, avg_loss: 3.58, run_time: 5.86e-01
steps: 29000, lr: 7.43e-04, avg_loss: 3.58, run_time: 4.09e-01
steps: 29500, lr: 7.36e-04, avg_loss: 3.57, run_time: 6.20e+02
steps: 29500, lr: 7.36e-04, avg_loss: 3.57, run_time: 4.49e-01
steps: 29500, lr: 7.36e-04, avg_loss: 3.57, run_time: 4.11e-01
steps: 30000, lr: 7.30e-04, avg_loss: 3.57, run_time: 6.75e+02
steps: 30000, lr: 7.30e-04, avg_loss: 3.57, run_time: 4.98e-01
steps: 30000, lr: 7.30e-04, avg_loss: 3.57, run_time: 3.99e-01
steps: 30500, lr: 7.24e-04, avg_loss: 3.55, run_time: 7.46e+02
steps: 30500, lr: 7.24e-04, avg_loss: 3.55, run_time: 4.85e-01
steps: 30500, lr: 7.24e-04, avg_loss: 3.55, run_time: 4.04e-01
steps: 31000, lr: 7.18e-04, avg_loss: 3.55, run_time: 6.20e+02
steps: 31000, lr: 7.18e-04, avg_loss: 3.55, run_time: 4.53e-01
steps: 31000, lr: 7.18e-04, avg_loss: 3.55, run_time: 4.16e-01
steps: 31500, lr: 7.13e-04, avg_loss: 3.56, run_time: 7.10e+02
steps: 31500, lr: 7.13e-04, avg_loss: 3.56, run_time: 4.58e-01
steps: 31500, lr: 7.13e-04, avg_loss: 3.56, run_time: 4.10e-01
